,drive_view,control
1,./dataset/210119_12-16-36_data/imgs/drive_view0.jpg,S
2,./dataset/210119_12-16-36_data/imgs/drive_view1.jpg,
3,./dataset/210119_12-16-36_data/imgs/drive_view2.jpg,
4,./dataset/210119_12-16-36_data/imgs/drive_view3.jpg,
5,./dataset/210119_12-16-36_data/imgs/drive_view4.jpg,
6,./dataset/210119_12-16-36_data/imgs/drive_view5.jpg,
7,./dataset/210119_12-16-36_data/imgs/drive_view6.jpg,W
8,./dataset/210119_12-16-36_data/imgs/drive_view7.jpg,W
9,./dataset/210119_12-16-36_data/imgs/drive_view8.jpg,W
10,./dataset/210119_12-16-36_data/imgs/drive_view9.jpg,W
11,./dataset/210119_12-16-36_data/imgs/drive_view10.jpg,W
12,./dataset/210119_12-16-36_data/imgs/drive_view11.jpg,W
13,./dataset/210119_12-16-36_data/imgs/drive_view12.jpg,W
14,./dataset/210119_12-16-36_data/imgs/drive_view13.jpg,W
15,./dataset/210119_12-16-36_data/imgs/drive_view14.jpg,W
16,./dataset/210119_12-16-36_data/imgs/drive_view15.jpg,W
17,./dataset/210119_12-16-36_data/imgs/drive_view16.jpg,W
18,./dataset/210119_12-16-36_data/imgs/drive_view17.jpg,W
19,./dataset/210119_12-16-36_data/imgs/drive_view18.jpg,W
20,./dataset/210119_12-16-36_data/imgs/drive_view19.jpg,D
21,./dataset/210119_12-16-36_data/imgs/drive_view20.jpg,D
22,./dataset/210119_12-16-36_data/imgs/drive_view21.jpg,W
23,./dataset/210119_12-16-36_data/imgs/drive_view22.jpg,W
24,./dataset/210119_12-16-36_data/imgs/drive_view23.jpg,W
25,./dataset/210119_12-16-36_data/imgs/drive_view24.jpg,W
26,./dataset/210119_12-16-36_data/imgs/drive_view25.jpg,W
27,./dataset/210119_12-16-36_data/imgs/drive_view26.jpg,W
28,./dataset/210119_12-16-36_data/imgs/drive_view27.jpg,W
29,./dataset/210119_12-16-36_data/imgs/drive_view28.jpg,W
30,./dataset/210119_12-16-36_data/imgs/drive_view29.jpg,W
31,./dataset/210119_12-16-36_data/imgs/drive_view30.jpg,W
32,./dataset/210119_12-16-36_data/imgs/drive_view31.jpg,W
33,./dataset/210119_12-16-36_data/imgs/drive_view32.jpg,W
34,./dataset/210119_12-16-36_data/imgs/drive_view33.jpg,W
35,./dataset/210119_12-16-36_data/imgs/drive_view34.jpg,W
36,./dataset/210119_12-16-36_data/imgs/drive_view35.jpg,W
37,./dataset/210119_12-16-36_data/imgs/drive_view36.jpg,W
38,./dataset/210119_12-16-36_data/imgs/drive_view37.jpg,W
